Competition.assay,Evolution.environment,Population.size,Evolved.strain.ID,Evolved.strain.mating.type,Evolved.strain.ade6.marker,Evolved.strain.genotype,Ancestor.genotype,Ancestor.mating.type,Ancestor.ade6.marker,Competition.replicate,Round,Picture.ID.initial,Evolved.strain.initial.CFU,Ancestor.initial.CFU,Competition.environment,Picture.ID.final,Evolved.strain.final.CFU,Ancestor.final.CFU
191,Fast,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4011,3,136,Fast,4022,46,48
192,Fast,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4011,3,136,Fast,4041,2,71
193,Fast,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4012,57,97,Fast,4027,421,146
194,Fast,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4012,57,97,Fast,4030,72,45
195,Fast,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4012,57,97,Fast,4056,309,120
196,Fast,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,4013,54,50,Fast,4025,3,75
197,Fast,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,4013,54,50,Fast,4031,0,18
198,Fast,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,4013,54,50,Fast,4039,18,123
199,Fast,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,4014,3,59,Fast,4037,2,72
200,Fast,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,4014,3,59,Fast,4052,10,258
201,Fast,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,4014,3,59,Fast,4054,22,58
202,Fast,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,785,164,18,Fast,2060,39,142
203,Fast,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,785,164,18,Fast,2070,169,69
204,Fast,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,785,164,18,Fast,2072,77,230
205,Fast,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4016,2,110,Fast,4018,66,86
206,Fast,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4016,2,110,Fast,4032,157,105
207,Fast,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4016,2,110,Fast,4051,76,69
208,Fast,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4017,1,43,Fast,4046,27,370
